"Contracts:

Purple = Diamond 
Green = Facet       
  Blue = Periphery",EXAMPLE,,DiamondCutFacet,,DiamondLoupeFacet,,OwnershipFacet,,DexManagerFacet,,AccessManagerFacet,,WithdrawFacet,,PeripheryRegistryFacet,,GenericSwapFacet,,LIFuelFacet,,CalldataVerificationFacet,,StandardizedCallFacet,,<placeholder>,,<placeholder>,,<placeholder>,,LiFiDiamond,,LiFiDiamondImmutable,,ERC20Proxy,,Executor,,FeeCollector,,Receiver,,ServiceFeeCollector,,LiFuelFeeCollector,,<placeholder>,,<placeholder>,,AcrossFacet,,AllBridgeFacet,,AmarokFacet,,ArbitrumBridgeFacet,,CBridgeFacet,,CBridgeFacetPacked,,CelerCircleBridgeFacet,,RelayerCelerIM,,CelerIMFacetMutable,,CelerIMFacetImmutable,,CircleBridgeFacet,,DeBridgeFacet,,GnosisBridgeFacet,,GnosisBridgeL2Facet,,GravityFacet,,HopFacet,,HopFacetPacked,,HyphenFacet,,MakerTeleportFacet,,MultichainFacet,,OFTWrapperFacet,,OmniBridgeFacet,,OptimismBridgeFacet,,PolygonBridgeFacet,,RoninBridgeFacet,,SquidFacet,,StargateFacet,,SynapseBridgeFacet,,ThorSwapFacet,,WormholeFacet,,HopFacetOptimized,,OpBNBBridgeFacet,,AmarokFacetPacked,,CCIPFacet,,<placeholder>,,<placeholder>,,<placeholder>,,<placeholder>,,<placeholder>,,<placeholder>,,END,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridge UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link,,Link,,Link,,Link,,Link,,Link,,,,,,Link,,Link,,,,Link,,Link,,Link,,Link,,Link,,Link,,Link,,,,Link,,,,Link,,Link,,Link,,Link,,Link,,Link,,Link,,Link,,,,,,,,,,,,,,,,,,,,,,,,,,
core periphery/facet,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Type,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,M,I,"M = Mutable
 I  = Immutable",,
Networks,"Updated:
24.05.23","Updated:
24.05.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
11.09.23","Updated:
11.09.23","Updated:
11.09.23","Updated:
11.09.23","Updated:
-","Updated:
-","Updated:
-","Updated:
-","Updated:
-","Updated:
-","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
04.10.23","Updated:
04.10.23","Updated:
-","Updated:
-","Updated:
-","Updated:
-","Updated:
15.06.23","Updated:
15.06.23","Updated:
29.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
15.06.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23","Updated:
xx.xx.23",EVM Chain,ChainId,
mainnet,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.1.0,1.1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,n/a,n/a,currently not needed,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,1.0.0,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,1.0.1,currently not needed,currently not needed,currently not needed,currently not needed,n/a,n/a,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,network not supported by this bridge,network not supported by this bridge,1.0.0,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,not launched yet,not launched yet,currently not needed,currently not needed,currently not needed,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,currently not needed,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,currently not needed,currently not needed,latest,latest,network not supported by this bridge,network not supported by this bridge,latest,latest,latest,latest,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,x,1,
polygon,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.1.0,1.1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,n/a,n/a,currently not needed,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,2.0.0,currently not needed,2.0.0,currently not needed,2.0.0,currently not needed,network not supported by this bridge,network not supported by this bridge,1.0.0,currently not needed,1.0.1,currently not needed,network not supported by this bridge,network not supported by this bridge,2.0.0,currently not needed,2.0.0,n/a,n/a,currently not needed,network not supported by this bridge,network not supported by this bridge,1.0.0,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,2.0.0,currently not needed,1.0.5,currently not needed,1.0.0,currently not needed,not launched yet,not launched yet,1.0.1,currently not needed,0.0.3,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,We only support L1 > L2,We only support L1 > L2,network not supported by this bridge,network not supported by this bridge,1.0.0,currently not needed,1.0.0,currently not needed,1.0.0,currently not needed,network not supported by this bridge,network not supported by this bridge,1.0.0,currently not needed,latest,latest,network not supported by this bridge,network not supported by this bridge,latest,latest,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,x,137,
binancesmartchain,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.1.0,1.1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,n/a,n/a,currently not needed,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,network not supported by this bridge,network not supported by this bridge,2.0.0,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,n/a,n/a,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,not launched yet,not launched yet,currently not needed,currently not needed,0.0.3,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,latest,latest,latest,latest,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,x,56,
xdai,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.1.0,1.1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,n/a,n/a,currently not needed,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,n/a,n/a,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,1.0.0,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,not launched yet,not launched yet,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,1.0.0,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,latest,latest,network not supported by this bridge,network not supported by this bridge,latest,latest,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,x,100,
fantom,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.1.0,1.1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,n/a,n/a,currently not needed,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,2.0.0,2.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,n/a,n/a,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,not launched yet,not launched yet,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,network not supported by this bridge,network not supported by this bridge,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,currently not needed,x,250,
